"All","Tutti",module,Magento/AdminGws
"None","Nessuno",module,Magento/AdminGws
"Allowed Scopes","Ambiti consentiti",module,Magento/AdminGws
"You need more permissions to delete this item(s): %1.","Non hai sufficienti diritti per eliminare gli elementi seguenti: %1.",module,Magento/AdminGws
"You need more permissions to apply some of the rule updates.","Non hai permessi sufficienti per applicare alcuni aggiornamenti alle regole.",module,Magento/AdminGws
"Please assign this entity to a store view.","Si prega di assegnare l'entità a una vista negozio.",module,Magento/AdminGws
"You can create orders only in an active store.","È possibile creare ordini solo in un negozio attivo.",module,Magento/AdminGws
"Please assign this item to a store view.","Si prega di assegnare l'elemento a una vista negozio.",module,Magento/AdminGws
"You need more permissions to save this item.","Non si dispone di diritti sufficienti per salvare l'elemento.",module,Magento/AdminGws
"You need more permissions to delete this item.","Non si dispone di diritti sufficienti per eliminare l'elemento.",module,Magento/AdminGws
"You need more permissions to view this item.","Non si dispone di diritti sufficienti per visualizzare l'elemento.",module,Magento/AdminGws
"Please specify at least one website or one store group.","Si prega di specificare un website o uno store group.",module,Magento/AdminGws
"You need more permissions to set All Scopes to a Role.","Non si dispone di diritti sufficienti per assegnare tutti gli ambiti al ruolo.",module,Magento/AdminGws
"Incorrect website ID: %1","ID Sito Web errato: %1",module,Magento/AdminGws
"You need more permissions to access website ""%1"".","Non hai permessi sufficienti per accedere al sito web: ""%1"".",module,Magento/AdminGws
"Incorrect store ID: %1","ID negozio errato: %1",module,Magento/AdminGws
"You need more permissions to save this setting.","Non si dispone di diritti sufficienti per salvare le impostazioni.",module,Magento/AdminGws
"Role Scopes","Ambiti del ruolo",module,Magento/AdminGws
"Custom","Personalizzato",module,Magento/AdminGws
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view",module,Magento/AdminGws
"More permissions are needed to delete the ""%1"" item.","Sono necessari più permessi per eliminare l'elemento ""%1"".",module,Magento/AdminGws
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Questa entità deve essere assegnata a una vista negozio. Verifica l'assegnazione dell'entità e riprova.",module,Magento/AdminGws
"Orders can only be completed in an active store. Verify the store and try again.","Gli ordini possono essere completati solo in un negozio attivo. Verifica il negozio e riprova.",module,Magento/AdminGws
"This item needs to be assigned to a store view. Assign item and try again.","Questo elemento deve essere assegnato a una vista negozio. Assegna l'elemento e riprova.",module,Magento/AdminGws
"More permissions are needed to save this item.","Non hai i permessi necessari per salvare questo elemento.",module,Magento/AdminGws
"More permissions are needed to delete this item.","Non hai i permessi necessari per eliminare questo elemento.",module,Magento/AdminGws
"More permissions are needed to view this item.","Non hai i permessi necessari per visualizzare questo elemento.",module,Magento/AdminGws
"At least one website or store group needs to be selected. Select and try again.","È necessario selezionare almeno un sito web o un gruppo di negozi. Selezionare e riprovare.",module,Magento/AdminGws
"More permissions are needed to set All Scopes to a Role.","Sono necessari ulteriori permessi per impostare tutti gli ambiti in un ruolo.",module,Magento/AdminGws
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","L'ID del sito Web di ""%1"" non è corretto. Verificare l'ID del sito Web e riprovare.",module,Magento/AdminGws
